Name,Size,Type,Tag,Alignment,Fly/Hover/Swim,CR,Source book,Source page,Spell user,Legendary actions,Lair actions,Abilities,Actions,Reaction,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other,,Credits
Deep Drake,Large,Dragon,,Chaotic evil,,9,ToB,152,n,n,n,,,,,,,,,,,,ø,,,,,
Deep hunter sea serpent,Gargantuan,Dragon,Aquatic,Lawful neutral,,14,FEF,200,n,y,n,,,,,,,,,,,,,x,,,,
Deep One,Large,Aberration,Deep One,Chaotic evil,,6,MaDC,30,n,n,n,,,,,,,,,,,,,ø,ø,,,
Deep One,Medium,Humanoid,,Chaotic evil,,2,ToB,73,n,n,n,,,,,ø,,,,,,,,ø,,,,
Deep One Archimandrite,Large,Humanoid,,Chaotic evil,,8,ToB,74,y,n,n,,,,,ø,,,,,,,,ø,,,,
Deep One Hybrid Priest,Medium,Humanoid,,Chaotic evil,,4,ToB,73,y,n,n,,,,,ø,,,,,,,,ø,,,,
Deep Scion,Medium,Humanoid,Shapechanger,Neutral evil,,3,VGtM,135,n,n,n,,,,,x,,,,,,,,x,,,,
Deep Troll,Large,Giant,,Chaotic evil,,5,MaDC,205,y,n,n,,,,,,,,,,,,ø,,,,,
Deer,Medium,Beast,,Unaligned,,0,MM,321,n,n,n,,,,,,,x,x,,,,,,,,,
Degenerate Titan,Huge,Giant,,Chaotic evil,,8,ToB,381,n,n,n,,,,,,,,,,,,,,,,,
Deinonychus,Medium,Beast,Dinosaur,Unaligned,,1,ToA,217,n,n,n,,,,,,,,,,,,,,,,,
Deinonychus,Medium,Beast,Dinosaur,Unaligned,,1,VGtM,139,n,n,n,,,,,,,x,x,x,,,,,,,,
Demilich,Tiny,Undead,,Neutral evil,,18,MM,48,n,y,n,,,,,,,,,,,,ø,,,,,
Demilich (in lair),Tiny,Undead,,Neutral evil,,20,MM,48,n,y,y,,,,,,,,,,,,ø,,,,,
Demogorgon,Huge,Fiend,"Demon, Lord",Chaotic evil,,26,MToF,144,y,y,y,,,,,,,,,,,,,,,ø,,
Demogorgon,Huge,Fiend,Demon,Chaotic evil,,26,OotA,236,y,y,y,,,,,,,,,,,,,,,ø,,
"Demon Lord of Apes, Mechuiti",Gargantuan,Fiend,Demon,Chaotic evil,,27,ToB,88,n,y,y,,,,,,,,,,,,,,,ø,,
Demon Lord of Bats and Fire Camazotz,Large,Fiend,Demon,Chaotic evil,,22,ToB,85,y,y,n,,,,,,,,,,,,,,,ø,,
Demon Lord of Cockroaches Akyishigal,Large,Fiend,,Chaotic evil,,12,ToB,82,y,y,n,,,,,,,,,,,,,,,ø,,
Demon Lord of Night Alquam,Huge,Fiend,Demon,Chaotic evil,,21,ToB,84,n,y,y,,,,,,,,,,,,,,,ø,,
Demon Lord of the Devouring Worm Qorgeth,Gargantuan,Fiend,Demon,Chaotic evil,,23,ToB,90,y,y,y,,,,,,,,,,,,,,ø,,,
Demonic knight,Medium,Fiend,,Chaotic evil,,5,FEF,82,y,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Denizen of leng,Medium,Aberration,,Chaotic evil,,5,FEF,83,y,n,n,,,,,,x,x,x,x,x,,,,,,,
Derro,Small,Humanoid,Derro,Chaotic evil,,1/4,MToF,158,n,n,n,,,,,,,,,,x,,x,,,ø,,
Derro,Small,Humanoid,Derro,Chaotic evil,,1/4,OotA,224,n,n,n,,,,,,,,,,,,,,,,,
Derro,Small,Humanoid,Derro,Chaotic evil,,5,CC,96,n,n,n,Boon of the Bat,"Multiattack, Quarterstaff, Sling, Drawn from Beyond, Extinguish Light",,,,,,,,,,,,,,,
Derro Fetal Savant,Tiny,Humanoid,,Chaotic evil,,4,ToB,92,n,n,n,,,,,,,,,,,,ø,,,,,
Derro Savant,Small,Humanoid,Derro,Chaotic evil,,3,OotA,225,y,n,n,,,,,,,,,,,,,,,,,
Derro Servant,Small,Humanoid,Derro,Chaotic evil,,3,MToF,159,y,n,n,,,,,,,,,,x,,x,,,ø,,
Derro Shadow Antipaladin,Small,Humanoid,,Chaotic evil,,5,ToB,93,y,n,n,,,,,,,,,,,,ø,,,,,
Desert Giant,Huge,Giant,,Neutral,,9,ToB,222,n,n,n,,,,,,ø,,,,,,,,,,,
Desert Troll,Large,Giant,,Chaotic evil,,6,CC,356,n,n,n,,,,,,,,,,,,,,,,,
Despair,Large,Fiend,,Neutral evil,,15,MaDC,130,n,n,n,,,,,,,,,,,,,,,ø,,
Deva,Medium,Celestial,,Lawful good,,10,MM,16,y,n,n,,,,,,,,,,,,,,,ø,,
Devil Bough,Huge,Fiend,Planar Flora,Neutral evil,,6,CC,302,n,n,n,,,,,,,,,,,,,,,,,
Devil Shark,Gargantuan,Monstrosity,,Neutral evil,,13,CC,98,n,n,n,"Blood Frenzy, Keen Smell, Magic Resistance, Shark Telepathy, Water Breathing","Bite, Swallow, Freezing Breath",,,,,,,,,,,,,,,
Devilbound Gnomish Prince,Small,Humanoid,,Any evil,,9,ToB,420,y,n,n,,,,,ø,,ø,ø,ø,,,,,ø,,,
Devkarin Lich,Medium,Undead,,Neutral evil,,14,GGtR,198,y,y,n,,,,,,,,,,,ø,ø,,ø,,,
Devourer,Large,Fiend,,Chaotic evil,,13,VGtM,138,n,n,n,,,,,,,,,,,,x,,,,,
Dhampir,Medium,Humanoid,Dhampir,Any,,1,CC,106,n,n,n,Undead Resistance,"Multiattack, Rapier, Shortbow, Dark Thirst, Predatory Charm",,,,,,,,,,,,x,,,
Dhampir Commander,Medium,Humanoid,Dhampir,Any,,7,CC,107,n,n,n,"Inspiring Savagry, Undead Resistance","Multiattack, Rapier, Shortbow, Dark Thirst, Predatory Charm, Leadership",,,,,,,,,,,,,,,
Dhergoloth,Medium,Fiend,Yugoloth,Neutral evil,,7,MToF,248,y,n,n,,,,,,,,,,,,x,,,ø,,
Dimetrodon,Medium,Beast,Dinosaur,Unaligned,,1/4,ToA,217,n,n,n,,,,,,,ø,ø,ø,,,,,,,,
Dimetrodon,Medium,Beast,Dinosaur,Unaligned,,1/4,VGtM,139,n,n,n,,,,,x,,,,,,x,,,,,,
Dipsa,Tiny,Ooze,,Unaligned,,1/4,ToB,118,n,n,n,,,,,,,,,,,ø,ø,,,,,
Dire Anglerfish,Huge,Beast,,Unaligned,,5,MaDC,31,n,n,n,,,,,,,,,,,,,ø,,,,
Dire corby,Medium,Monstrosity,,Neutral evil,,1/2,FEF,84,n,n,n,,,,,,,,,,,,x,,,,,
Dire Troll,Huge,Giant,,Chaotic evil,,13,MToF,243,n,n,n,,,,x,,,x,,x,x,,x,,,,,
Dire Wolf,Large,Beast,,Unaligned,,1,MM,321,n,n,n,,,,,,,x,,x,,,,,,,,
Displacer Beast,Large,Monstrosity,,Lawful evil,,3,MM,81,n,n,n,,,,,,,x,,,,,,,,,,
Dissimortuum,Medium,Undead,,Chaotic evil,,7,ToB,119,n,n,n,,,,,,,,,,,,,,ø,,,
Diviner,Medium,Humanoid,Any Race,Any alignment,,8,VGtM,213,y,n,n,,,,,,,,,,,,,,x,,,
Djinni,Large,Elemental,,Chaotic good,,11,MM,144,y,n,n,,,,,x,,,,,,,,,,,,
Dogmole,Medium,Beast,,Neutral,,1,ToB,120,n,n,n,,,,,,,,,,ø,,ø,,,,,
Dogmole Juggernaut,Large,Monstrosity,,Neutral,,5,ToB,121,n,n,n,,,,,,,,,,ø,,ø,,,,,
Dolphin,Medium,Beast,,Unaligned,,1/8,VGtM,208,n,n,n,,,,,x,,,,,,,,x,,,,
Domovoi,Medium,Fey,,Chaotic neutral,,4,ToB,122,y,n,n,,,,,,,ø,,,,,ø,,ø,,,
Doom Golem,Large,Construct,,Unaligned,,10,CC,197,n,n,n,"Fear Aura, Luminous Skeleton, Immutable Form, Magic Resistance, Magic Weapon","Multiattack, Doom Claw, BIte, Wind of Boreas",Doom Upon You,,,,,,,,,,,,,,
Doombat,Large,Monstrosity,,Unaligned,,3,FEF,23,n,n,n,,,,,,,,,,,,x,,,,,
Doomspeaker,Medium,Humanoid,,Chaotic evil,,6,CC,399,y,n,n,,,,,,,,,,,,,,,,,
Doppelganger,Medium,Monstrosity,Shapechanger,Neutral,,3,LMoP,56,n,n,n,,,,,,,,,,,,ø,,ø,,,
Doppelganger,Medium,Monstrosity,Shapechanger,Neutral,,3,MM,82,n,n,n,,,,,,,,,,,,x,,x,,,
Doppelrat,Tiny,Monstrosity,,Unaligned,,2,ToB,123,n,n,n,,,,,,,,,,,,ø,,ø,,,
Dorreq,Medium,Aberration,,Neutral evil,,4,ToB,124,y,n,n,,,,,ø,ø,,ø,ø,ø,ø,ø,,,,,
Dracotaur,Large,Dragon,Dragon,Chaotic neutral,,6,CC,110,n,n,n,Charge,"Multiattack, Bite, Claws, Longsbow, Lightning Arrow, Lightning Breath",,,,,,,,,,,,,,,
Draegloth,Small,Fiend,Demon,Neutral evil,,4,MaDC,32,y,n,n,,,,,,,,,,,,,,,ø,,
Draegloth,Large,Fiend,Demon,Chaotic evil,,7,VGtM,141,y,n,n,,,,,,,,,,,,x,,,,,
Draft Horse,Large,Beast,,Unaligned,,1/4,MM,321,n,n,n,,,,,,,,,,,,,,x,,,
Dragon Eel,Huge,Dragon,,Neutral,,12,ToB,146,n,n,n,,,,,ø,,,,,,,ø,ø,,,,
Dragon Turtle,Gargantuan,Dragon,,Neutral,,17,MM,119,n,n,n,,,,,x,,,,,,,,x,,,,
Dragonbait,Medium,Humanoid,Surial,Lawful good,,5,ToA,218,n,n,n,,,,,,,,,,,,,,,,,
Dragonclaw,Medium,Humanoid,Human,Neutral evil,,1,HotDQ,89,n,n,n,,,,,,,,,,,,,,,,,
Dragonclaw,Medium,Humanoid,Human,Neutral evil,,1,RoT,89,n,n,n,,,,,,,,,,,,,,,,,
Dragonfang,Medium,Humanoid,Human,Neutral evil,,5,RoT,89,n,n,n,,,,,,,,,,,,,,,,,
Dragonleaf Tree,Large,Plant,,Unaligned,,8,ToB,147,n,n,n,,,,,,,ø,,,,,,,,,,
Dragonslayer Ornstein,Medium,Humanoid,,Lawful neutral,,17,MaDC,33,n,y,n,,,,,,,,,,,,,,ø,,,
Dragonsoul,Medium,Humanoid,Human,Neutral evil,,7,RoT,89,n,n,n,,,,,,,,,,,,,,,,,
Dragonwing,Medium,Humanoid,Human,Neutral evil,,2,HotDQ,89,n,n,n,,,,,,,,,,,,,,,,,
Dragonwing,Medium,Humanoid,Human,Neutral evil,,2,RoT,90,n,n,n,,,,,,,,,,,,,,,,,
Drakon,Large,Beast,,Unaligned,,5,ToB,157,n,n,n,,,,,ø,,,,,,,,ø,,,,
Dralmorrer Borngray,Medium,Humanoid,High-Elf,Neutral evil,,3,HotDQ,90,y,n,n,,,,,,,,,,,,,,,,,
Drannin Splithelm,Medium,Humanoid,Shield Dwarf,Neutral evil,,7,PotA,209,n,n,n,,,,,,,,,,,,,,,,,
Dread Warrior,Medium,Undead,,Neutral evil,,1,TftYP,233,n,n,n,,,,,,,,,,,,,,,,,
Dream Eater,Large,Aberration,,Chaotic evil,,10,MaDC,34,n,y,n,,,,,,,,,,,,,,ø,ø,,
Dream Eater,Medium,Fiend,,Lawful evil,,5,ToB,158,y,n,n,,,,,,,,,,,,,,ø,,,
Dream Squire,Medium,Fey,,Neutral,,2,CC,134,n,n,n,"Bound Devotion, Master's Bond","Multiattack, Mace, Light Crossbow",For the Master,,,,,,,,,,,,,,
Dream Wraith,Medium,Undead,,Neutral evil,,5,CC,135,n,n,n,"Create Wraith, Incorporeal Movement, Sunlight Sensitivity","Sleep Touch, Steal Dream",Dreamer's Gaze,,,,,,,,,,,,,,
Dretch,Small,Fiend,Demon,Chaotic evil,,1/4,MM,57,n,n,n,,,,,,,,,,,,,,,ø,,
Drider,Large,Monstrosity,,Chaotic evil,,6,MM,120,y,n,n,,,,,,,,,,,,x,,,,,
Droki,Small,Humanoid,Derro,Chaotic evil,,2,OotA,231,y,n,n,,,,,,,,,,,,,,,,,
Droth,Huge,Aberration,Shoth,Lawful neutral,,12,CC,332,n,n,n,,,,,,,,,,,,,,,,,
Drow,Medium,Humanoid,Elf,Neutral evil,,1/4,MM,128,y,n,n,,,,,,,,,,,,x,,,,,
Drow Arachnomancer,Medium,Humanoid,"Elf, drow",Chaotic evil,,13,MToF,182,y,n,n,,,,,,,,,,,,x,,,,,
Drow Elite Warrior,Medium,Humanoid,Elf,Neutral evil,,5,MM,128,y,n,n,,,,,,,,,,,,x,,,,,
Drow Favored Consort,Medium,Humanoid,"Elf, drow",Chaotic evil,,18,MToF,183,y,n,n,,,,,,,,,,,,x,,,,,
Drow Gunslinger,Medium,Humanoid,Elf,Any alignment,,4,WDH,201,y,n,n,,,,,,,,,,,,,,ø,,,
Drow House Captain,Medium,Humanoid,"Elf, drow",Chaotic evil,,9,MToF,184,y,n,n,,,,,,,,,,,,x,,,,,
Drow Inquisitor,Medium,Humanoid,"Elf, drow",Chaotic evil,,14,MToF,184,y,n,n,,,,,,,,,,,,x,,,,,
Drow Mage,Medium,Humanoid,Elf,Neutral evil,,7,MM,129,y,n,n,,,,,,,,,,,,x,,,,,
Drow Matron Mother,Medium,Humanoid,"Elf, drow",Chaotic evil,,20,MToF,186,y,y,n,,,,,,,,,,,,x,,,,,
Drow Mech,Large,Fey,,Lawful evil,,11,MaDC,35,y,n,n,,,,,,,,,,,,ø,,,,,
Drow Priestess of Lolth,Medium,Humanoid,Elf,Neutral evil,,8,MM,129,y,n,n,,,,,,,,,,,,x,,,,,
Drow Shadowblade,Medium,Humanoid,"Elf, drow",Chaotic evil,,11,MToF,187,y,n,n,,,,,,,,,,,,x,,,,,
Drow Spore Servant,Medium,Plant,,Unaligned,,1/8,OotA,229,n,n,n,,,,,,,,,,,,ø,,,,,
Drowned Maiden,Medium,Undead,,Neutral evil,,5,ToB,159,y,n,n,,,,,ø,,,,,,ø,,ø,ø,,,
Druid,Medium,Humanoid,Any Race,Any alignment,,2,MM,346,y,n,n,,,,x,x,x,x,x,x,x,x,,,,,,
Druid of the Old Ways,Medium,Humanoid,Any Race,Chaotic neutral,,7,GGtR,239,y,n,n,,,,,,,ø,ø,ø,,,,,ø,,,
Dryad,Medium,Fey,,Neutral,,1,MM,121,y,n,n,,,,,,,x,,,,,,,,,,
Dualist Shadow Fey Elves,Medium,Humanoid,Elf,Lawful evil,,6,ToB,171,y,n,n,,,,,,,,,,,,ø,,,ø,,
Duergar,Medium,Humanoid,Dwarf,Lawful evil,,1,MM,122,n,n,n,,,,,,,,,,,,x,,,,,
Duergar Darkhaft,Medium,Humanoid,Dwarf,Lawful evil,,2,OotA,226,y,n,n,,,,,,,,,,,,,,,,,
Duergar Despot,Medium,Humanoid,Dwarf,Lawful evil,,12,MToF,188,y,n,n,,,,,,,,,,x,,x,,,,,
Duergar Hammerer,Medium,Humanoid,Dwarf,Lawful evil,,2,MToF,188,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Kavalrachni,Medium,Humanoid,Dwarf,Lawful evil,,2,MToF,189,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Kavalrachni,Medium,Humanoid,Dwarf,Lawful evil,,2,OotA,226,n,n,n,,,,,,,,,,,,,,,,,
Duergar Keeper Of The Flame,Medium,Humanoid,Dwarf,Lawful evil,,2,OotA,226,n,n,n,,,,,,,,,,,,,,,,,
Duergar Mind Master,Medium,Humanoid,Dwarf,Lawful evil,,2,MToF,189,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Screamer,Medium,Humanoid,Dwarf,Lawful evil,,3,MToF,190,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Soulblade,Medium,Humanoid,Dwarf,Lawful evil,,1,MToF,190,y,n,n,,,,,,,,,,x,,x,,,,,
Duergar Soulblade,Medium,Humanoid,Dwarf,Lawful evil,,1,OotA,227,y,n,n,,,,,,,,,,,,,,,,,
Duergar Spore Servant,Medium,Plant,,Unaligned,,1/2,OotA,229,n,n,n,,,,,,,,,,,,ø,,,,,
Duergar Spy,Medium,Humanoid,Dwarf,Lawful evil,,2,TftYP,234,n,n,n,,,,,,,,,,,,,,,,,
Duergar Stone Guard,Medium,Humanoid,Dwarf,Lawful evil,,2,MToF,191,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Stone Guard,Medium,Humanoid,Dwarf,Lawful evil,,2,OotA,227,n,n,n,,,,,,,,,,,,,,,,,
Duergar Warlord,Medium,Humanoid,Dwarf,Lawful evil,,6,MToF,192,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Xarrorn,Medium,Humanoid,Dwarf,Lawful evil,,2,MToF,193,n,n,n,,,,,,,,,,x,,x,,,,,
Duergar Xarrorn,Medium,Humanoid,Dwarf,Lawful evil,,2,OotA,228,n,n,n,,,,,,,,,,,,,,,,,
Dullahan,Large,Fey,,Lawful evil,,11,ToB,161,y,n,n,,,,,,,,,,,,,,,ø,,
Dune Mimic,Huge,Monstrosity,,Neutral,,8,ToB,162,n,n,n,,,,,,ø,,,,ø,,,,,,,
Duodrone,Medium,Construct,Modron,Lawful neutral,,1/4,MM,225,n,n,n,,,,,,,,,,,,,,,ø,,
Durnan,Medium,Humanoid,Human,Neutral,,9,WDH,203,n,n,n,,,,,,,,,,,,,,ø,,,
Duskdale Wurm,Huge,Beast,,Unaligned,,16,MaDC,36,n,y,n,,,,,,,,,,,,ø,,,,,
Duskdale Wurm,Large,Beast,,Unaligned,,6,MaDC,36,n,y,n,,,,,,,,,,,,ø,,,,,
Duskthorn Dryad,Medium,Fey,Dryad,Any chaotic,,3,ToB,160,y,n,n,,,,,,,ø,ø,,,,,,,,,
Dust digger,Large,Aberration,,Unaligned,,3,FEF,88,n,n,n,,,,,,x,,,,,,,,,,,
Dust Goblin,Small,Humanoid,Goblinoid,Neutral evil,,1/4,ToB,232,n,n,n,,,,,,ø,,,,,,,,,,,
Dust Goblin Chieftain,Small,Humanoid,Goblinoid,Neutral evil,,3,CC,136,n,n,n,"Alien Mind, Cunning Action, Sneak Attack, Twisted","Shortsword, Light Crossbow",Parry,,,,,,,,,,,,,,
Dust Mephit,Small,Elemental,,Neutral evil,,1/2,MM,215,y,n,n,,,,,,x,,,,,,,,,,,
Dvarapala,Huge,Giant,,Any,,5,CC,137,y,n,n,"Divine Words, Keen Senses, Magic Resistance, You shall not Pass!, Innate Spellcasting","Gada, Javelin, Sweeping Strike",,,,,,,,,,,,,,,
Dwarven Ringmage,Medium,Humanoid,Dwarf,Any alignment,,7,ToB,420,y,n,n,,,,,,,,,ø,ø,,ø,,ø,,,
Dybbuk,Medium,Fiend,Demon,Chaotic evil,,4,MToF,132,y,n,n,,,,,,x,,,,,,,,x,ø,,
Eagle,Small,Beast,,Unaligned,,0,MM,322,n,n,n,,,,,x,,,x,x,x,,,,,,,
Eala,Small,Monstrosity,,Unaligned,,2,ToB,163,n,n,n,,,,,,,,,,,,,,,ø,,
Earth Elemental,Large,Elemental,,Neutral,,5,MM,124,n,n,n,,,,,,,,,,,,x,,,,,
Earth Elemental Myrmidon,Medium,Elemental,,Neutral,,7,PotA,212,n,n,n,,,,,,,,,,,,ø,,,,,
Earth Elemental Myrmodon,Medium,Elemental,,Neutral,,7,MToF,202,n,n,n,,,,,,,,,,,,ø,,,,,
Eater of Dust,Medium,Aberration,,Neutral evil,,9,ToB,164,y,n,n,,,,,,ø,,,,,,,,,,,
Eblis,Medium,Monstrosity,,Neutral evil,,1/2,FEF,89,y,n,n,,,,,,,x,,,,x,,,,,,
Eblis,Large,Monstrosity,,Neutral evil,,1,ToA,219,y,n,n,,,,,,,ø,,,,ø,,,,,,
Echo,Medium,Fiend,Demon,Chaotic evil,,6,CC,84,n,n,n,Aura of Cacophany,"Iron Claws, Everywhere at Once, Echoes of the Abyss",,,,,,,,,,,,,,,
Ecstatic Bloom,Huge,Celestial,Planar Flora,Neutral good,,11,CC,303,n,n,n,,,,,,,,,,,,,,,,,
Ectoplasm,Large,Ooze,,Unaligned,,2,FEF,90,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Edimmu,Medium,Undead,,Chaotic evil,,4,ToB,165,n,n,n,,,,,,ø,,ø,,,,,,,,,
Edjet Dragonborn,Medium,Humanoid,Dragonborn,Lawful neutral,,3,CC,121,n,n,n,"Line of Battle, Martial Advantage","Multiattack, Halberd, Shortsword, Shortbow, Fire Breath",,,,,,,,,,,,,,,
Eel Hound,Medium,Fey,,Neutral,,2,ToB,166,n,n,n,,,,,ø,,ø,,,,ø,,ø,,,,
Efreeti,Large,Elemental,,Lawful evil,,11,MM,145,y,n,n,,,,,,x,,,,,,,,,,,
Eidolon,Medium,Undead,Eidolon,Any alignment,,12,MToF,194,n,n,n,,,,,x,x,x,x,,x,,,,x,,,
Einherjar,Medium,Humanoid,,Chaotic neutral,,7,ToB,167,y,n,n,,,,ø,,,,,,,,,,,,,
Elder Brain,Large,Aberration,,Lawful evil,,14,VGtM,174,y,y,y,,,,,,,,,,,,x,,,,,
Elder Ghost Boar,Huge,Monstrosity,,Unaligned,,6,CC,169,n,n,n,"Charge, Incorporeal Jaunt, Relentless, Spirit Conduit","Multiattack, Tusk",Ghostly Slip,,,,,,,,,,,,,,
Elder Oblex,Huge,Ooze,Oblex,Lawful evil,,10,MToF,219,y,n,n,,,,,,,,,,,x,x,,x,,,
Elder Shadow Drake,Large,Dragon,,Chaotic evil,,7,ToB,153,n,n,n,,,,,,,ø,,,,,ø,,,,,
Elder Tempest,Gargantuan,Elemental,Elder elemental,Neutral,,23,MToF,200,n,y,n,,,,x,x,,,x,x,x,,,,,,,
Eldrazi Scion,Large,Aberration,,Chaotic evil,,1,MaDC,47,n,n,n,,,,,,,,,,,,,,,ø,,
Eleinomae,Medium,Fey,,Chaotic evil,,5,ToB,168,y,n,n,,,,,,,,,,,ø,,,,,,
Elemental Locus,Gargantuan,Elemental,,Neutral,,17,ToB,169,n,n,n,,,,,,,,,,,,,,,ø,,
Elementalist Dragonborn,Medium,Humanoid,Dragonborn,Lawful neutral,,2,CC,122,y,n,n,"Elemental Focus, War Mage","Multiattack, Scimitar, Fire Breath",,,,,,,,,,,,,,,
Elephant,Huge,Beast,,Unaligned,,4,MM,322,n,n,n,,,,,,,,x,,,,,,,,,
Elfmarked Human,Medium,Humanoid,Half-Elf,Any,,1/2,CC,403,y,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Elite Kobold,Small,Humanoid,Kobold,Lawful neutral,,1,CC,237,n,n,n,,,,,,,,,,,,x,,x,,,
Elizar Dryflagon,Medium,Humanoid,Human,Neutral evil,,5,PotA,202,y,n,n,,,,,,,,,,,,,,,,,
Elk,Large,Beast,,Unaligned,,1/4,MM,322,n,n,n,,,,,,,x,x,x,,,,,,,,
Elophar,Large,Undead,,Chaotic evil,,4,CC,149,y,n,n,"Ectoplasmic Spray, Possessed by Ancestors, Runic Spellcasting",Slam,,,,,,,,,,,,,,,
Elusa hound,Medium,Monstrosity,,Unaligned,,1,FEF,93,n,n,n,,,,,,,x,x,x,,,,,,,,
Elvish Veteran Archer,Medium,Humanoid,,Chaotic neutral,,3,ToB,422,n,n,n,,,,,,,ø,,,,,,,ø,,,
Emerald Eye,Tiny,Construct,,Chaotic evil,,1,ToB,175,n,n,n,,,,,,,,,,,,,,ø,,,
Emerald Order Cult Leader,Medium,Humanoid,,Lawful neutral,,8,ToB,421,y,n,n,,,,,,,ø,,,,,,,ø,,,
Emperor Ghoul,Medium,Undead,Ghoul,Neutral evil,,20,ToB,218,y,y,y,,,,,,,,,,,ø,ø,,ø,,,
Empty Cloak,Medium,Construct,,Unaligned,,1/2,ToB,176,n,n,n,,,,,,,,,,,,,,ø,,,
Empyrean,Huge,Celestial,Titan,Chaotic good,,23,MM,130,y,y,n,,,,,,,,,,,,,,,ø,,
"Emrakul, The Aeons Torn",Colossal,Aberration,Titan,Chaotic evil,,30,MaDC,48,y,y,n,,,,,,,,,,,,,,,ø,,
Encephalon gorger,Medium,Aberration,,Chaotic evil,,4,FEF,94,n,n,n,,,,,,x,x,x,x,x,,,,,,,
Enchanter,Medium,Humanoid,,Any alignment,,5,TftYP,234,y,n,n,,,,,,,,,,,,,,,,,
Enchanter,Medium,Humanoid,Any Race,Any alignment,,5,VGtM,213,y,n,n,,,,,,,,,,,,,,x,,,
Enchanter,Medium,Humanoid,Elf,Any,,7,CC,143,y,n,n,"Fey Ancestry, Reach of the Fey, Spellcasting","Dagger, Captivating Gaze",Beguiling Parry,,,,,,,,,,,,,,
Enchantress Shadow Fey Elves,Medium,Humanoid,Elf,Lawful evil,,7,ToB,172,y,n,n,,,,,,,,,,,,ø,,,ø,,
Envoker,Medium,Humanoid,,Any alignment,,9,TftYP,235,y,n,n,,,,,,,,,,,,,,,,,
Eonic Drifter,Medium,Humanoid,,Chaotic neutral,,1,ToB,177,n,n,n,,,,,,,,,,,,,,,ø,,
Erina Defender,Small,Humanoid,,Neutral,,1,ToB,178,n,n,n,,,,,,,ø,ø,ø,ø,,,,ø,,,
Erina Scrounger,Small,Humanoid,,Neutral,,1/4,ToB,178,n,n,n,,,,,,,ø,ø,ø,ø,,,,ø,,,
Erinyes,Medium,Fiend,Devil,Lawful evil,,12,MM,73,n,n,n,,,,,,,,,,,,,,,ø,,
Eternal Flame Guardian,Medium,Humanoid,Human,Chaotic evil,,2,PotA,200,n,n,n,,,,,,,,,,,,,,,,,
Eternal Flame Priest,Medium,Humanoid,Human,Neutral evil,,3,PotA,200,y,n,n,,,,,,,,,,,,,,,,,
Ettercap,Medium,Monstrosity,,Neutral evil,,2,MM,131,n,n,n,,,,,,,x,,,,,,,,,,
Ettin,Large,Giant,,Chaotic evil,,4,MM,132,n,n,n,,,,,,,,,x,x,,,,,,,
Evil Doll,Tiny,Construct,Fiend,Lawful evil,,2,MaDC,49,y,n,n,,,,,,,,,,,,,,ø,,,
Evil Mage,Medium,Humanoid,Human,Lawful evil,,1,LMoP,57,y,n,n,,,,,,,,,,,,,,,,,
Evoker,Medium,Humanoid,Any Race,Any alignment,,9,VGtM,214,y,n,n,,,,,,,,,,,,,,x,,,
Execrable Shrub,Medium,Fiend,Planar Flora,Neutral evil,,1/2,CC,304,n,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Executioner Smough,Large,Humanoid,,Neutral evil,,16,MaDC,50,n,y,n,,,,,,,,,,,,,,ø,,,
Exploding Toad,Tiny,Monstrosity,,Chaotic evil,,1/4,CC,150,n,n,n,"Amphibious, Final Croak, Mad Hopping, Selective Immunity, Standing Leap",Bite,Death Leap,,,,,,,,x,,,,,,
Eye Golem,Large,Construct,,Unaligned,,11,ToB,233,n,n,n,,,,,,,,,,,,ø,,ø,,,
Eye of the Gods,Small,Celestial,Angel,Any,,1,CC,16,n,n,n,,,,,,,,,,,,,,,x,,
Ezmerelda d'Avenir,Medium,Humanoid,Human,Chaotic good,,8,CoS,231,y,n,n,,,,,,,,,,,,,,ø,,,
Fallen Angel,Medium,Celestial,,Lawful evil,,10,MaDC,51,y,n,n,,,,,,,,,,,,,,,ø,,
Famine,Medium,Fiend,,Neutral evil,,20,MaDC,128,y,y,n,,,,,,,,,,,,,,,ø,,
Fang of the Great Wolf,Large,Monstrosity,,Neutral evil,,3,CC,384,n,n,n,,,,,,,,,,,,,,,,,
Fanged sea serpent,Large,Dragon,Aquatic,Neutral evil,,5,FEF,201,n,n,n,,,,,,,,,,,,,x,,,,
Far Darrig,Small,Fey,,Neutral,,3,ToB,179,y,n,n,,,,ø,,,ø,,,,,,,,,,
Far Wanderer,Medium,Aberration,,Neutral,,3,CC,151,n,n,n,"Trader, Traveler","Stardus Blade, Stardust bow, Call to Yorama",,,,,,,,,,,,,,,
Fate Eater,Medium,Aberration,,Neutral,,6,ToB,180,y,n,n,,,,,,,,,,,,,,,ø,,
